Genero;Ciudad;Orientacion;Item1;Item2;Item3;Item4;Item5;Item6;Item7;Item8;Item9;Item10;Item11;Item12;Item13;Item14;Item15;Item16;Item17;Item18;Item19;Item20;Item21;Item22;Item23
Masculino;Ushuaia;CienciasSociales;0;1;1;0;1;1;1;0;1;0;1;1;1;0;0;0;0;1;1;1;0;0;1
Masculino;Ushuaia;CienciasSociales;0;1;1;0;0;1;1;0;0;1;1;1;0;1;1;1;0;0;1;0;1;1;0
Masculino;Ushuaia;CienciasSociales;0;1;1;0;0;1;0;1;1;1;0;1;0;0;0;0;1;0;1;0;1;1;0
Femenino;Ushuaia;CienciasSociales;0;1;1;0;0;1;1;1;1;0;1;0;0;0;0;0;1;0;1;0;1;1;0
Femenino;Ushuaia;CienciasSociales;0;0;1;0;1;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;1;0;0
Femenino;Ushuaia;CienciasSociales;0;1;1;1;1;1;1;0;0;0;1;0;0;0;0;1;1;1;0;0;1;1;0
Masculino;Ushuaia;CienciasSociales;1;1;0;1;1;1;1;0;1;0;0;1;0;0;0;0;1;1;1;0;1;0;0
Masculino;Ushuaia;CienciasSociales;0;1;1;1;1;1;1;0;0;1;1;1;0;1;0;0;0;0;1;1;1;0;1
Femenino;Ushuaia;CienciasSociales;0;0;1;0;1;1;1;0;1;0;0;0;1;0;1;0;1;0;1;0;1;1;1
Masculino;Ushuaia;Lenguas;0;0;1;1;1;1;1;0;1;1;1;0;1;0;0;0;0;1;0;0;1;1;0
Masculino;Ushuaia;Lenguas;1;0;0;0;1;1;1;0;0;1;0;1;1;0;0;0;0;0;1;0;1;1;1
Femenino;Ushuaia;Lenguas;0;1;1;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0
Masculino;Ushuaia;Lenguas;0;1;1;1;0;1;1;0;1;0;1;0;1;1;0;0;1;0;1;0;1;1;0
Femenino;Ushuaia;Lenguas;1;1;0;1;0;1;1;1;0;0;1;1;0;1;0;1;1;0;1;1;0;0;0
Masculino;Ushuaia;AgroyAmbiente;0;0;1;0;1;1;1;1;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0
Masculino;Ushuaia;AgroyAmbiente;0;0;0;0;0;1;0;1;1;0;1;0;0;0;0;1;1;0;1;0;1;0;0
Masculino;Ushuaia;AgroyAmbiente;0;1;0;1;1;1;1;1;1;0;1;1;0;0;0;0;1;1;1;0;1;1;0
Masculino;Ushuaia;AgroyAmbiente;0;1;0;1;1;1;1;1;1;0;1;1;0;0;0;1;1;1;1;1;1;1;0
Masculino;Ushuaia;AgroyAmbiente;0;1;0;1;1;1;1;1;1;0;1;1;0;0;1;0;1;0;1;0;1;1;1
Femenino;Ushuaia;AgroyAmbiente;0;1;1;1;1;1;0;0;1;0;1;1;0;0;0;0;0;1;1;1;1;0;0
Masculino;Ushuaia;AgroyAmbiente;1;0;1;1;1;1;1;0;1;0;0;1;0;1;1;1;1;0;0;0;1;0;1
Masculino;Ushuaia;EconomiayAdministracion;0;0;1;0;1;1;1;0;0;0;1;1;0;0;0;0;1;0;1;1;1;1;1
Femenino;Ushuaia;EconomiayAdministracion;0;0;1;0;0;1;1;0;0;0;0;1;1;1;1;1;0;1;1;1;0;1;0
Masculino;Ushuaia;CienciasSociales;1;1;1;0;1;1;0;0;0;1;1;1;0;0;0;0;0;1;1;1;1;0;0
Masculino;Ushuaia;EconomiayAdministracion;1;1;1;0;1;1;1;1;0;0;1;1;0;0;0;1;1;1;1;0;1;1;1
Masculino;Ushuaia;EconomiayAdministracion;0;1;0;0;1;1;1;0;1;1;0;1;1;0;0;0;0;1;1;0;1;1;0
Femenino;Ushuaia;EconomiayAdministracion;0;1;1;0;0;1;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0
Femenino;Ushuaia;EconomiayAdministracion;0;1;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;1;1;1;1;0;0
Masculino;Ushuaia;EconomiayAdministracion;0;1;1;0;0;1;1;0;0;0;1;1;1;0;1;0;1;1;1;1;1;0;0
Femenino;Ushuaia;EconomiayAdministracion;0;1;1;0;1;1;1;0;0;1;0;1;0;0;0;1;1;1;1;1;1;1;0
Femenino;Ushuaia;Lenguas;0;1;0;0;1;1;1;0;0;1;0;1;0;0;0;1;1;1;1;1;1;1;0
Femenino;Ushuaia;EconomiayAdministracion;0;1;0;1;0;1;1;0;0;1;0;1;0;0;0;1;1;0;1;0;1;0;0
Masculino;Ushuaia;EconomiayAdministracion;0;1;0;1;0;1;1;0;0;0;1;1;1;0;0;0;1;0;1;1;1;1;0
Masculino;Ushuaia;EconomiayAdministracion;0;1;0;1;0;1;1;0;0;1;1;1;1;0;0;0;1;0;1;0;1;1;1
Masculino;Ushuaia;EconomiayAdministracion;0;1;0;1;1;1;1;1;0;1;1;1;1;0;0;1;0;1;0;0;1;1;1
Masculino;Ushuaia;EconomiayAdministracion;0;1;0;1;0;1;1;0;0;1;1;1;1;0;0;1;0;0;1;0;1;1;0
Masculino;Ushuaia;Informatica ;0;0;0;1;1;1;1;0;1;1;1;0;1;0;0;0;1;0;1;1;1;0;1
Masculino;Ushuaia;CienciasNaturales;0;1;0;1;1;1;1;1;0;0;0;1;1;0;0;0;1;0;1;1;1;0;0
Masculino;Ushuaia;Informatica ;0;1;0;0;1;1;1;1;0;1;1;0;1;0;0;0;1;0;0;1;1;0;1
Masculino;Ushuaia;Informatica ;0;1;0;1;1;1;1;1;0;0;1;0;1;0;0;0;1;0;0;0;1;1;1
Masculino;Ushuaia;Informatica ;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;1;0;1;1;0;0;1
Femenino;Ushuaia;Comunicacion;0;0;1;0;1;1;1;0;0;1;1;1;0;0;1;0;1;1;1;0;1;1;0
Masculino;Ushuaia;EconomiayAdministracion;0;1;0;1;1;1;1;1;0;0;0;1;1;0;0;1;0;0;0;0;1;1;1
Masculino;Ushuaia;AgroyAmbiente;0;1;1;1;1;1;1;1;0;1;1;0;1;0;0;0;1;1;0;1;1;1;0
Masculino;Ushuaia;Informatica ;0;1;1;1;0;1;1;1;0;0;0;1;1;0;0;0;1;0;1;0;1;1;0
Femenino;Ushuaia;Informatica ;1;0;1;0;0;1;1;0;1;0;1;1;1;0;1;0;1;0;1;1;1;0;1
Femenino;Ushuaia;Informatica ;0;1;1;0;1;1;1;1;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0
Masculino;Ushuaia;Informatica ;1;0;1;1;1;1;1;0;1;0;1;1;0;0;0;0;1;1;1;0;1;0;0
Masculino;Ushuaia;Informatica ;0;1;0;0;1;1;1;0;1;0;1;1;1;0;1;0;1;0;1;0;1;0;0
Masculino;Ushuaia;Informatica ;0;1;1;1;1;1;0;1;0;1;1;0;0;0;1;1;1;0;0;1;1;0;0
Masculino;Ushuaia;Informatica ;0;1;1;1;1;1;1;0;1;0;1;1;1;0;0;1;0;0;1;0;0;1;0
Masculino;Ushuaia;Informatica ;0;0;1;0;0;1;1;0;1;0;0;0;1;1;0;0;1;1;1;0;1;0;0
Masculino;Ushuaia;Informatica ;1;1;1;1;0;1;1;1;1;0;1;1;1;0;0;0;1;0;1;0;1;1;1
Femenino;Ushuaia;Informatica ;0;1;0;1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;1;0;1;0;0
Femenino;Ushuaia;Informatica ;1;1;1;1;0;1;1;1;0;0;1;1;1;0;1;0;1;0;1;1;1;0;0
Masculino;Ushuaia;Informatica ;0;1;1;1;1;1;1;1;0;0;1;1;1;0;0;0;1;0;1;0;1;0;0
Masculino;Ushuaia;Informatica ;1;1;1;1;1;1;0;1;0;0;1;1;1;0;0;0;1;0;1;1;1;0;0
Masculino;Ushuaia;Informatica ;0;1;1;1;1;1;1;0;1;0;0;1;0;0;1;0;1;1;1;1;1;0;1
Femenino;Ushuaia;Informatica ;1;1;0;1;0;1;1;1;0;0;1;1;1;0;0;0;1;0;1;1;1;0;0
Femenino;Ushuaia;Informatica ;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;0;1;1;1;1
Femenino;Ushuaia;Informatica ;0;1;1;1;1;1;1;1;0;1;0;0;1;0;0;0;1;0;1;1;1;0;0
Masculino;Ushuaia;Informatica ;1;1;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;1;0;1;1;1;1
Masculino;Ushuaia;Informatica ;0;1;1;0;0;1;1;0;0;1;1;0;1;0;0;0;1;0;0;0;1;1;1
Masculino;Ushuaia;Informatica ;0;1;0;0;1;1;1;1;1;0;0;1;1;0;1;0;1;0;0;0;1;0;0
Masculino;Ushuaia;Informatica ;0;1;1;1;0;1;0;1;1;1;0;0;1;0;0;0;1;1;1;1;1;0;1
Masculino;Ushuaia;Informatica ;0;1;0;1;0;1;1;0;1;0;1;0;1;0;0;1;1;1;1;1;1;1;0
Femenino;Ushuaia;Informatica ;1;0;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;1;1
Masculino;Ushuaia;Informatica ;0;0;1;0;1;0;0;0;0;1;1;1;1;0;0;1;1;1;1;1;0;1;1
Masculino;Ushuaia;Informatica ;1;1;1;0;1;1;1;0;1;0;1;1;1;1;0;0;1;0;1;0;1;0;1
Femenino;Ushuaia;Informatica ;0;1;1;0;1;1;1;0;1;0;1;1;1;1;0;0;1;0;1;0;1;0;1
Masculino;Ushuaia;Informatica ;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;1;0;1;1;1;1;0
Femenino;Ushuaia;Informatica ;0;1;1;0;1;1;0;1;1;0;1;1;0;0;1;0;1;0;1;1;1;1;0
Masculino;Ushuaia;Informatica ;1;0;0;0;0;1;0;1;1;0;0;1;1;0;0;1;1;0;1;0;1;0;0
Masculino;Ushuaia;Informatica ;1;1;1;1;0;1;1;0;0;0;1;1;1;0;0;0;0;0;1;1;1;0;1
Masculino;Ushuaia;Informatica ;0;0;0;1;1;1;1;0;0;0;0;1;1;0;1;0;1;0;1;1;1;0;1
Masculino;Ushuaia;Informatica ;0;0;0;1;1;1;1;0;1;1;1;0;1;0;0;0;1;1;1;0;1;0;0
Masculino;Ushuaia;Construcciones;0;1;0;0;1;1;1;0;0;0;1;0;0;0;0;0;1;1;1;1;1;0;1
Masculino;Ushuaia;Construcciones;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;1;1;1;1;0;1
Masculino;Ushuaia;Construcciones;0;1;0;0;1;1;1;0;0;0;1;0;0;0;0;0;1;1;1;1;1;0;1
Femenino;Ushuaia;Construcciones;0;1;0;1;1;1;0;1;0;0;0;0;1;0;0;0;1;1;1;0;1;1;0
Masculino;Ushuaia;Construcciones;0;1;0;0;1;1;0;0;0;1;0;1;1;0;1;0;1;0;1;1;1;0;1
Femenino;Ushuaia;Construcciones;0;0;0;0;0;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1
Femenino;Ushuaia;Construcciones;0;0;0;0;1;1;1;0;0;1;1;1;0;0;0;0;1;1;0;1;1;0;1
Femenino;Ushuaia;Construcciones;0;0;0;0;1;1;0;0;1;1;1;1;0;0;0;1;0;0;1;1;0;1;1
Masculino;Ushuaia;Construcciones;1;1;1;1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;1;0;1;0;0
Masculino;Ushuaia;Construcciones;1;1;1;0;1;1;1;0;1;1;1;1;1;0;0;1;0;1;1;0;1;1;1
Femenino;Ushuaia;Construcciones;1;1;1;1;1;1;0;1;1;0;1;1;0;1;1;1;0;1;1;0;1;0;0
Masculino;Ushuaia;Construcciones;0;0;1;1;1;1;0;0;0;0;1;1;0;0;0;0;1;0;1;1;1;0;0
Masculino;Ushuaia;Construcciones;0;1;0;1;1;1;1;0;0;1;1;1;0;0;0;0;0;0;1;0;0;1;1
Femenino;Ushuaia;Construcciones;0;1;0;1;1;1;1;0;1;0;1;1;1;0;0;1;1;0;1;1;1;0;0
Femenino;Ushuaia;Construcciones;0;1;1;1;0;1;1;0;1;0;1;1;0;1;1;0;1;1;1;1;1;0;0
Femenino;Ushuaia;Construcciones;1;1;0;0;1;1;1;0;0;0;1;1;1;0;0;0;0;0;1;0;1;0;1
Femenino;Ushuaia;Construcciones;1;1;0;1;0;1;1;0;0;0;1;1;1;0;0;0;0;0;1;0;1;0;1
Masculino;Ushuaia;Construcciones;0;1;1;1;1;1;1;0;1;0;1;0;1;0;0;0;1;0;1;1;1;0;0
Masculino;Ushuaia;Construcciones;0;1;1;1;1;1;1;0;1;0;1;1;1;0;0;1;1;1;1;1;1;0;1
Masculino;Ushuaia;Construcciones;1;1;1;1;1;1;1;0;0;1;1;1;1;0;1;0;1;0;1;0;1;1;1
Masculino;Ushuaia;Construcciones;1;0;1;1;1;1;1;0;0;0;1;1;1;0;1;0;1;0;0;1;1;1;0
Masculino;Ushuaia;Construcciones;1;1;1;1;1;1;1;0;1;0;1;1;1;0;0;1;1;0;1;1;1;0;0
Masculino;Ushuaia;Construcciones;0;1;1;1;0;1;1;0;1;0;1;1;1;0;0;1;1;1;1;1;1;0;0
Femenino;Ushuaia;Construcciones;1;1;0;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;1;0;1;0;0
Femenino;Ushuaia;Construcciones;1;1;0;1;1;1;1;1;1;1;1;0;0;0;1;0;0;1;1;0;1;0;1
Femenino;Ushuaia;Construcciones;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1
Masculino;Ushuaia;Construcciones;0;1;1;1;1;1;1;0;1;1;0;1;1;0;1;0;0;0;1;0;1;1;0
Femenino;Ushuaia;Construcciones;0;0;1;0;0;1;1;0;1;0;1;1;0;0;0;0;0;1;0;1;1;0;0
Masculino;Ushuaia;Construcciones;0;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0;1;0;1;0;0;0;0
Femenino;Ushuaia;Construcciones;0;1;0;0;1;1;1;0;1;1;1;1;0;0;0;0;0;0;1;0;1;0;1
